signal,entry,stop_loss,take_profits,index,profit
buy,113994.97,113869.65,[114245.6],208,250.63000000000466
buy,114011.5,113891.56,[114251.38],209,239.88000000000466
buy,114014.23,113889.67,[114263.36],215,249.13000000000466
buy,113971.49,113858.58,[114197.31],219,225.81999999999243
buy,114033.0,113927.7,[114243.59],221,210.5899999999965
buy,114048.93,113950.02,[114246.76],222,197.83000000000175
buy,114211.4,114107.12,[114419.96],223,208.56000000001222
buy,114237.08,114131.57,[114448.11],224,211.02999999999884
buy,114210.01,114092.45,[114445.13],229,235.1200000000099
buy,114225.0,114102.64,[114469.72],233,244.72000000000116
buy,114239.53,114121.08,[114476.42],234,236.88999999999942
buy,114295.01,114179.49,[114526.06],236,231.0500000000029
buy,114348.16,114233.46,[114577.55],237,229.38999999999942
buy,114367.72,114249.54,[114604.07],240,236.35000000000582
buy,114395.4,114272.31,[114641.59],242,246.19000000000233
buy,114413.36,114292.14,[114655.8],243,242.44000000000233
buy,114499.99,114382.41,[114735.15],245,235.15999999998894
buy,114549.99,114437.24,[114775.49],246,225.5
buy,114433.68,114340.56,[114619.92],254,186.24000000000524
buy,114355.68,114261.8,[114543.44],260,187.7600000000093
buy,114434.0,114339.79,[114622.42],261,188.41999999999825
buy,114460.62,114367.99,[114645.88],262,185.2600000000093
buy,114294.26,114183.63,[114515.53],271,221.27000000000407
buy,114508.23,114395.87,[114732.95],274,224.72000000000116
buy,114587.5,114472.89,[114816.71],276,229.2100000000064
buy,114588.24,114453.62,[114857.47],284,269.2299999999959
buy,114606.03,114467.58,[114882.92],285,276.8899999999994
buy,114623.52,114491.37,[114887.82],289,264.3000000000029
buy,114638.42,114519.36,[114876.54],292,238.11999999999534
buy,114439.45,114329.9,[114658.55],302,219.10000000000582
buy,114512.88,114403.97,[114730.7],303,217.81999999999243
buy,114386.63,114270.02,[114619.85],307,233.22000000000116
buy,114476.02,114360.48,[114707.11],310,231.0899999999965
buy,114569.08,114456.56,[114794.12],312,225.0399999999936
buy,114539.02,114441.45,[114734.16],318,195.13999999999942
buy,114729.09,114630.06,[114927.15],322,198.05999999999767
buy,115089.82,114950.4,[115368.66],324,278.8399999999965
buy,115194.14,115048.99,[115484.44],325,290.3000000000029
buy,115375.0,115224.05,[115676.89],326,301.8899999999994
buy,115635.37,115467.34,[115971.42],327,336.0500000000029
buy,116195.16,115988.46,[116608.55],328,413.3899999999994
buy,116229.21,115988.39,[116710.85],332,481.6399999999994
buy,116342.45,116134.06,[116759.23],337,416.77999999999884
buy,116472.96,116265.2,[116888.49],338,415.52999999999884
buy,116542.56,116366.62,[116894.43],343,351.86999999999534
buy,116310.01,116169.59,[116590.86],352,280.8500000000058
buy,116374.25,116245.12,[116632.5],355,258.25
buy,116400.0,116284.7,[116630.61],358,230.61000000000058
buy,116443.99,116331.74,[116668.5],361,224.50999999999476
buy,116483.87,116376.79,[116698.04],362,214.16999999999825
buy,116575.39,116467.05,[116792.06],363,216.66999999999825
buy,116618.42,116511.75,[116831.76],365,213.3399999999965
buy,116789.58,116677.27,[117014.2],366,224.61999999999534
buy,116792.02,116667.5,[117041.05],370,249.02999999999884
buy,116555.98,116427.31,[116813.33],379,257.3500000000058
buy,116596.6,116478.3,[116833.19],382,236.5899999999965
buy,116675.22,116532.32,[116961.02],389,285.8000000000029
buy,116806.96,116662.23,[117096.42],390,289.45999999999185
buy,117206.68,117035.55,[117548.94],391,342.2600000000093
buy,117388.99,117196.57,[117773.84],394,384.84999999999127
buy,117393.09,117196.19,[117786.89],398,393.8000000000029
buy,117292.74,117102.6,[117673.03],402,380.2899999999936
buy,117317.98,117142.66,[117668.62],406,350.6399999999994
buy,117365.71,117194.25,[117708.62],407,342.90999999998894
buy,117499.63,117319.11,[117860.68],408,361.04999999998836
buy,117492.18,117325.06,[117826.41],411,334.2300000000105
buy,117423.73,117265.24,[117740.71],414,316.9800000000105
buy,117428.54,117268.54,[117748.54],415,320.0
buy,117738.11,117567.4,[118079.54],416,341.429999999993
buy,117773.0,117607.68,[118103.65],417,330.6499999999942
buy,117861.69,117707.67,[118169.72],420,308.02999999999884
buy,117924.01,117753.5,[118265.03],422,341.0200000000041
buy,117557.0,117374.89,[117921.23],431,364.2299999999959
buy,116974.18,116794.16,[117334.23],440,360.0500000000029
buy,117056.32,116878.9,[117411.17],441,354.84999999999127
buy,117027.1,116859.79,[117361.71],444,334.6100000000006
buy,117135.45,116971.98,[117462.39],445,326.9400000000023
buy,117200.0,117050.74,[117498.52],448,298.5200000000041
buy,117280.0,117131.47,[117577.07],449,297.070000000007
buy,117330.73,117188.78,[117614.63],451,283.90000000000873
buy,117403.43,117266.42,[117677.44],452,274.0100000000093
buy,117480.0,117352.24,[117735.51],454,255.50999999999476
buy,117483.53,117359.36,[117731.87],455,248.3399999999965
buy,117536.9,117418.35,[117774.0],459,237.10000000000582
buy,117393.72,117270.37,[117640.42],468,246.6999999999971
buy,117528.14,117411.51,[117761.39],473,233.25
buy,117579.43,117474.62,[117789.05],477,209.6200000000099
buy,117472.57,117380.41,[117656.89],484,184.31999999999243
buy,117554.96,117461.65,[117741.57],486,186.61000000000058
buy,117741.34,117639.88,[117944.27],487,202.93000000000757
buy,117858.0,117739.59,[118094.81],488,236.80999999999767
buy,117843.38,117732.07,[118066.0],496,222.61999999999534
